销量排名,书名,作者,作者姓名,作者国家,出版年份,出版社,原价,折后价,折扣,百分比折扣,评论数,简介,match_text,所属分类
11,你好!Python,关东升,关东升,,2024,机械工业出版社,54.9,60.0,10.9,109%,728,本书以轻松幽默的语言，从零始介绍Python语言。书名来源于编程语言中最经典的Hello World程序，寓意带读者从门到精通。 书中每章都设有总结与扩展和同步练习，以及若干训练营，旨在通过综合案例巩固知识。本书还提供配套代码、课件、答疑服务，以及视频来辅助学习。 本书全彩印刷，目录采用幽默风格命名，使用漫画角色对话的形式讲解知识，以吸引读者学习兴趣。 无论您是编程新手，还是有经验的程序员，本书都将以浅显易懂的方式，带您掌握Python语言实用技能。您只要耐心学习践行，必将收获满满，现在请您始Python编程之旅吧！,你好!python 本书以轻松幽默的语言，从零始介绍python语言。书名来源于编程语言中最经典的hello world程序，寓意带读者从门到精通。 书中每章都设有总结与扩展和同步练习，以及若干训练营，旨在通过综合案例巩固知识。本书还提供配套代码、课件、答疑服务，以及视频来辅助学习。 本书全彩印刷，目录采用幽默风格命名，使用漫画角色对话的形式讲解知识，以吸引读者学习兴趣。 无论您是编程新手，还是有经验的程序员，本书都将以浅显易懂的方式，带您掌握python语言实用技能。您只要耐心学习践行，必将收获满满，现在请您始python编程之旅吧！,Python基础入门
12,小学生Python创意编程 视频教学版,刘凤飞,刘凤飞,,2024,清华大学出版社,89.0,69.4,7.8,78%,10074,《小学生Python创意编程（视频教学版）》《Python编程入门与实践》是一本适合孩子、家长和职场办公人员学习的Python编程教材。本书以Python基础为起点，深入浅出地介绍了Python自动化编程的知识和技巧。无论你是初学者还是有一定编程基础的读者，本书都能满足你的需求。 本书采用了孩子喜欢的趣味方式编写，语言简洁易懂，让读者轻松愉快地学习Python编程。同时，本书也按照入门开发者的思维方式编写，为孩子提供了学习编程的基础知识。如果你是成人或非计算机专业的学生，本书同样适合你，帮助你轻松掌握Python编程。 无论你是想学习编程提升职业技能，还是培养孩子的计算思维能力，本书都是你的不二选择。快来阅读本书吧，开启编程的奇妙世界！,小学生python创意编程 视频教学版 《小学生python创意编程（视频教学版）》《python编程入门与实践》是一本适合孩子、家长和职场办公人员学习的python编程教材。本书以python基础为起点，深入浅出地介绍了python自动化编程的知识和技巧。无论你是初学者还是有一定编程基础的读者，本书都能满足你的需求。 本书采用了孩子喜欢的趣味方式编写，语言简洁易懂，让读者轻松愉快地学习python编程。同时，本书也按照入门开发者的思维方式编写，为孩子提供了学习编程的基础知识。如果你是成人或非计算机专业的学生，本书同样适合你，帮助你轻松掌握python编程。 无论你是想学习编程提升职业技能，还是培养孩子的计算思维能力，本书都是你的不二选择。快来阅读本书吧，开启编程的奇妙世界！,Python基础入门
13,AI+Python医学数据分析实践,余本国韩惠蕊傅渝健,余本国韩惠蕊傅渝健,,2025,清华大学出版社,79.8,62.2,7.8,78%,231,本书特色 ? 《AI Python医学数据分析实践》以科研必知的极简Python语法为基础，逐步进阶到机器学习知识. ? 《AI Python医学数据分析实践》以TOP期刊论文为版本进行代码复现，了解机器学习在实际科研问题中的应用。 ? 《AI Python医学数据分析实践》赠送PPT课件，方便读者学习和使用。 读者对象 《AI Python医学数据分析实践》专为编程基础薄弱的医学生和科研工作者打造。无论是初学者还是有一定基础的读者，《AI Python医学数据分析实践》都能帮助你快速提升机器学习实战能力，走在技术前沿。,ai+python医学数据分析实践 本书特色 ? 《ai python医学数据分析实践》以科研必知的极简python语法为基础，逐步进阶到机器学习知识. ? 《ai python医学数据分析实践》以top期刊论文为版本进行代码复现，了解机器学习在实际科研问题中的应用。 ? 《ai python医学数据分析实践》赠送ppt课件，方便读者学习和使用。 读者对象 《ai python医学数据分析实践》专为编程基础薄弱的医学生和科研工作者打造。无论是初学者还是有一定基础的读者，《ai python医学数据分析实践》都能帮助你快速提升机器学习实战能力，走在技术前沿。,机器学习与深度学习
14,机器学习原理与Python实践,卓泽滨,卓泽滨,,2025,清华大学出版社,99.8,77.8,7.8,78%,151,全面、深入剖析机器学习的算法原理和模型构建等核心技术。 结合大量实例和两个实战项目案例展现各种算法的实际应用。 详解监督学习、无监督学习和强化学习的理论基础与应用场景。 详解模型训练中的风险函数、参数寻优方法，以及欠拟合与过拟合解决方案。 深入解析机器学习常用经典模型的基本原理及其Python实现。 详解数据标准化、异常值检测、缺失值处理和特征筛选等数据预处理技术。 详解两个典型项目实战案例，带领读者动手实践，提高实际开发水平。 内容丰富：详解机器学习的基础知识和相关算法原理并进行实践，还对深度学习的基础知识进行讲解，帮助读者系统掌握机器学习的完整知识体系。 循序渐进：从机器学习的基本概念和环境搭建开始讲解，逐步深入其算法原理和模型构建等核心技术，最后进行项目实战，学习梯度非常平滑。 理论结合,机器学习原理与python实践 全面、深入剖析机器学习的算法原理和模型构建等核心技术。 结合大量实例和两个实战项目案例展现各种算法的实际应用。 详解监督学习、无监督学习和强化学习的理论基础与应用场景。 详解模型训练中的风险函数、参数寻优方法，以及欠拟合与过拟合解决方案。 深入解析机器学习常用经典模型的基本原理及其python实现。 详解数据标准化、异常值检测、缺失值处理和特征筛选等数据预处理技术。 详解两个典型项目实战案例，带领读者动手实践，提高实际开发水平。 内容丰富：详解机器学习的基础知识和相关算法原理并进行实践，还对深度学习的基础知识进行讲解，帮助读者系统掌握机器学习的完整知识体系。 循序渐进：从机器学习的基本概念和环境搭建开始讲解，逐步深入其算法原理和模型构建等核心技术，最后进行项目实战，学习梯度非常平滑。 理论结合,机器学习与深度学习
15,程序是怎样跑起来的(第3版),[日]矢泽久雄著,矢泽久雄著,日,2022,人民邮电出版社,56.8,29.9,5.3,53%,614,★ 日文版重印41次！ ★ 计算机组成原理 图解趣味版 ★ 蹲马桶就能看懂的编程基础知识 本书适合 ○ 菜鸟程序员门阶 ○ 中级程序员查漏补缺 ○ 高手程序员向家人普及计算机知识 ========================================= ※ 如何向小学生讲解CPU和二制？ ※ 如何向中学生讲解内存和磁盘？ ※ 如何向女高中生讲解操作系统的原理？ ※ 如何向老奶奶说明显示器和电视的不同？ 如果你完全没有思路，就应该读一读这本书。 ★ 以图配文，深讲解编程基础知识 ★ 语言通俗，即使是文科生也能看得懂 ★ 特设 如果是你，你会怎么讲？ 专栏，生动有趣,程序是怎样跑起来的(第3版) ★ 日文版重印41次！ ★ 计算机组成原理 图解趣味版 ★ 蹲马桶就能看懂的编程基础知识 本书适合 ○ 菜鸟程序员门阶 ○ 中级程序员查漏补缺 ○ 高手程序员向家人普及计算机知识 ========================================= ※ 如何向小学生讲解cpu和二制？ ※ 如何向中学生讲解内存和磁盘？ ※ 如何向女高中生讲解操作系统的原理？ ※ 如何向老奶奶说明显示器和电视的不同？ 如果你完全没有思路，就应该读一读这本书。 ★ 以图配文，深讲解编程基础知识 ★ 语言通俗，即使是文科生也能看得懂 ★ 特设 如果是你，你会怎么讲？ 专栏，生动有趣,青少年/趣味编程
16,奇思妙想：Python青少年趣味编程101例（视频教学版）,徐苑琳,徐苑琳,,2025,清华大学出版社,99.8,77.8,7.8,78%,385,本书是一本专为青少年量身打造的Python编程入门宝典！如果你对编程充满好奇，却又不知从何下手，这本书绝对是你的不二之选！ 书中精心设计了101个趣味横生的编程案例。不仅涵盖了Python编程的基础语法，还融入了算法思维和代码逻辑的训练，让青少年在动手实践中逐步掌握编程的精髓。最值得一提的是，这本书配备了详细的视频教学！视频中，专业老师会一步步带你走进编程的世界，从代码的输入到程序的运行，每一个细节都清晰可见。即使是没有编程基础的初学者，也能轻松上手，快速掌握Python编程的技巧。 无论是想培养编程兴趣，还是为未来的科技学习打下坚实基础，《奇思妙想：Python青少年趣味编程101例（视频教学版）》都将是你最好的伙伴！快来开启你的编程之旅吧！,奇思妙想：python青少年趣味编程101例（视频教学版） 本书是一本专为青少年量身打造的python编程入门宝典！如果你对编程充满好奇，却又不知从何下手，这本书绝对是你的不二之选！ 书中精心设计了101个趣味横生的编程案例。不仅涵盖了python编程的基础语法，还融入了算法思维和代码逻辑的训练，让青少年在动手实践中逐步掌握编程的精髓。最值得一提的是，这本书配备了详细的视频教学！视频中，专业老师会一步步带你走进编程的世界，从代码的输入到程序的运行，每一个细节都清晰可见。即使是没有编程基础的初学者，也能轻松上手，快速掌握python编程的技巧。 无论是想培养编程兴趣，还是为未来的科技学习打下坚实基础，《奇思妙想：python青少年趣味编程101例（视频教学版）》都将是你最好的伙伴！快来开启你的编程之旅吧！,Python基础入门
17,Python从入门到精通 第3版,明日科技,明日科技,,2023,清华大学出版社,89.8,85.3,9.5,95%,3745,软件开发视频大讲堂 丛书是清华社计算机专业基础类零售图书畅销品牌之一。 （1）2008 2023年，丛书累计修订7次，销售400万册，深受广大程序员喜爱。 （2）4本荣获 全行业优畅销书 奖，1本荣获清华社 专业畅销书 一等奖，多数品种在全国计算机零售图书排行榜排行中名列前茅。 （3）实用、易懂、资源丰富，被数百所高校选为专业课教材。 《Python从入门到精通（第3版）》以长更新稳定版本Python 3.11.0为基础，图书特点如下。 1. 学通Python只需要4步：基础知识 核心技术 高级应用 项目实战，符合认知规律。 2. 271集同步教学微课 强化实战训练 在线答疑，夯实基础，精准，有效，速练，适合自学。 3. 127个应用实例 32个综合练习 5个项目案例，学习1小时，训练10小时，从入门到项目上线，真正成为Python高手。 4. 根据图书首页说明，扫描书中二维码，打开明日科技账号注,python从入门到精通 第3版 软件开发视频大讲堂 丛书是清华社计算机专业基础类零售图书畅销品牌之一。 （1）2008 2023年，丛书累计修订7次，销售400万册，深受广大程序员喜爱。 （2）4本荣获 全行业优畅销书 奖，1本荣获清华社 专业畅销书 一等奖，多数品种在全国计算机零售图书排行榜排行中名列前茅。 （3）实用、易懂、资源丰富，被数百所高校选为专业课教材。 《python从入门到精通（第3版）》以长更新稳定版本python 3.11.0为基础，图书特点如下。 1. 学通python只需要4步：基础知识 核心技术 高级应用 项目实战，符合认知规律。 2. 271集同步教学微课 强化实战训练 在线答疑，夯实基础，精准，有效，速练，适合自学。 3. 127个应用实例 32个综合练习 5个项目案例，学习1小时，训练10小时，从入门到项目上线，真正成为python高手。 4. 根据图书首页说明，扫描书中二维码，打开明日科技账号注,Python基础入门
18,Python网络爬虫入门到实战,"杨涵文,周培源,陈姗姗","杨涵文,周培源,陈姗姗",,2023,机械工业出版社,79.2,59.0,7.4,74%,168,本书作者不吃西红柿、川川都是在CSDN等专业网站拥有全网50万粉丝的专业级博主，意见领袖。本书从基础知识到案例实战，200多个案例代码，近200个知识。,python网络爬虫入门到实战 本书作者不吃西红柿、川川都是在csdn等专业网站拥有全网50万粉丝的专业级博主，意见领袖。本书从基础知识到案例实战，200多个案例代码，近200个知识。,Python基础入门
19,强劲的Python:现代Python编程的模式与策略,(美)亚伦・麦克斯韦(AaronMaxwell),亚伦・麦克斯韦,美,2025,机械工业出版社,63.2,47.0,7.4,74%,23,本书并非关于Python知识的一站式全面指南，而是以Python的核心编程范式为主线，从生成器、推导式等基础工具切，逐步深到装饰器、魔术方法等高级特性，为读者面向对象编程的全新视角，旨在传授Python相关技术、模式和工具，让读者的Python编程技能实现质的飞跃。书中精心设计的实战案例贯穿始终：从文本处理中的生成器组合，到工厂模式在框架设计中的应用，再到日志系统的企业级配置，每个章节都将理论与实践完美结合。具体内容包括如何使用生成器行扩展、如何使用推导式创建集合，以及高级函数、装饰器、异常和错误、类和对象、自动化测试、模块管理、Python日志等。,强劲的python:现代python编程的模式与策略 本书并非关于python知识的一站式全面指南，而是以python的核心编程范式为主线，从生成器、推导式等基础工具切，逐步深到装饰器、魔术方法等高级特性，为读者面向对象编程的全新视角，旨在传授python相关技术、模式和工具，让读者的python编程技能实现质的飞跃。书中精心设计的实战案例贯穿始终：从文本处理中的生成器组合，到工厂模式在框架设计中的应用，再到日志系统的企业级配置，每个章节都将理论与实践完美结合。具体内容包括如何使用生成器行扩展、如何使用推导式创建集合，以及高级函数、装饰器、异常和错误、类和对象、自动化测试、模块管理、python日志等。,高阶开发与配套基础
20,Python量化投资:技术、模型与策略,赵志强;刘志伟,赵志强;刘志伟,,2020,机械工业出版社,57.0,51.35,9.0,90%,151,"全书共18章，前11章主要讲解基础知识。第1章介绍了什么是量化投资，以及为什么要用Python。第2章介绍了如何搭建基础环境，介绍了常用的一些工具。第3章讲解python的基本应用和常用的库。第4章介绍python数据分析中常用的Numpy, Scipy, Pandas。第5章介绍数据分析的基础方法。第6章介绍数据的可视化，使用matplotlib库。第7章介绍基础的金融分析方法。第8章介绍技术分析和时序序列分析，从业界和学术界两种角度来行分析。第9章介绍了投资组合理论和由此衍生出来的多因子模型。第10章介绍了金融市场中衍生品的分析，以期货和期权为主。第11章从利率始，介绍了债券的分析方法。  从第12章始实战篇。第12章讲解中国金融市场，主要针对二级市场，并介绍了针对不同市场的基本投资策略。第13章介绍了，研究策略时，所需的数据来源，源数据和商业数据库都有介绍。并且介绍目前比较流行的python的源数据源。第14章介绍了如何建立数据库，并且讲解针对不同数据，如何设计数据库。第15章介绍了策略研究基本概念，方法论和流程。第16章介绍了行自动化交易的口，并且介绍了目前比较流行的源项目vn","python量化投资:技术、模型与策略 全书共18章，前11章主要讲解基础知识。第1章介绍了什么是量化投资，以及为什么要用python。第2章介绍了如何搭建基础环境，介绍了常用的一些工具。第3章讲解python的基本应用和常用的库。第4章介绍python数据分析中常用的numpy, scipy, pandas。第5章介绍数据分析的基础方法。第6章介绍数据的可视化，使用matplotlib库。第7章介绍基础的金融分析方法。第8章介绍技术分析和时序序列分析，从业界和学术界两种角度来行分析。第9章介绍了投资组合理论和由此衍生出来的多因子模型。第10章介绍了金融市场中衍生品的分析，以期货和期权为主。第11章从利率始，介绍了债券的分析方法。  从第12章始实战篇。第12章讲解中国金融市场，主要针对二级市场，并介绍了针对不同市场的基本投资策略。第13章介绍了，研究策略时，所需的数据来源，源数据和商业数据库都有介绍。并且介绍目前比较流行的python的源数据源。第14章介绍了如何建立数据库，并且讲解针对不同数据，如何设计数据库。第15章介绍了策略研究基本概念，方法论和流程。第16章介绍了行自动化交易的口，并且介绍了目前比较流行的源项目vn",数据分析与可视化
21,Python全栈开发――Web编程,夏正东,夏正东,,2025,清华大学出版社,79.0,61.6,7.8,78%,154,本书是一本同时汇集了Flask和Django全开发流程的Python高阶书籍。除了涵盖知识点广泛的特点之外，其内容编排也非常新颖，各章节之间既有独立性，又能递进支撑，可以有效缩短学习的时间和成本。此外，本书搭配了多个示例代码和综合项目，使原本就比较难以理解和学习的Web编程变得更容易接受，极大地提升了读者的学习乐趣和信心。,python全栈开发――web编程 本书是一本同时汇集了flask和django全开发流程的python高阶书籍。除了涵盖知识点广泛的特点之外，其内容编排也非常新颖，各章节之间既有独立性，又能递进支撑，可以有效缩短学习的时间和成本。此外，本书搭配了多个示例代码和综合项目，使原本就比较难以理解和学习的web编程变得更容易接受，极大地提升了读者的学习乐趣和信心。,高阶开发与配套基础
22,Python编程：从入门到实践,（美）埃里克・马瑟斯（EricMatthes）,埃里克・马瑟斯,美,2016,人民邮电出版社,71.3,44.5,6.2,62%,738,到有编程基础的程序员，下到10岁少年，想门Python并达到可以发实际项目的水平，本书是读者*！ 本书是一本全面的从门到实践的Python编程教程，带领读者快速掌握编程基础知识、编写出能解决实际问题的代码并发复杂项目。 书中内容分为基础篇和实战篇两部分。基础篇介绍基本的编程概念，如列表、字典、类和循环，并指导读者编写整洁且易于理解的代码。另外还介绍了如何让程序能够与用户交互，以及如何在代码运行前行测试。实战篇介绍如何利用新学到的知识发功能丰富的项目：2D游戏《外星人侵》，数据可视化实战，Web应用程序。,python编程：从入门到实践 到有编程基础的程序员，下到10岁少年，想门python并达到可以发实际项目的水平，本书是读者*！ 本书是一本全面的从门到实践的python编程教程，带领读者快速掌握编程基础知识、编写出能解决实际问题的代码并发复杂项目。 书中内容分为基础篇和实战篇两部分。基础篇介绍基本的编程概念，如列表、字典、类和循环，并指导读者编写整洁且易于理解的代码。另外还介绍了如何让程序能够与用户交互，以及如何在代码运行前行测试。实战篇介绍如何利用新学到的知识发功能丰富的项目：2d游戏《外星人侵》，数据可视化实战，web应用程序。,Python基础入门
